店名,業種,サービス,郵便番号,住所,電話番号
杉の子マート   日進駅前店,食料品・日用品,"さいコイン,たまポン,出産・子育て,限定たまポン",3310823,さいたま市北区日進町2ー761ー2,0487833566
ファミリーファッションさわだや,食料品・日用品,"さいコイン,たまポン,出産・子育て,限定たまポン",3310825,さいたま市北区櫛引町2丁目305番地,0486636856
梅林堂大宮櫛引店,食料品・日用品,"さいコイン,たまポン,出産・子育て,限定たまポン",3310825,さいたま市北区櫛引町2ー501ー1,0486686688
魚沼屋   青木商店,食料品・日用品,"さいコイン,たまポン,出産・子育て,限定たまポン",3330823,さいたま市北区日進町2丁目811番地7号,0486511350
梅林堂宮原本郷店,食料品・日用品,"さいコイン,たまポン,出産・子育て,限定たまポン",3380802,さいたま市北区本郷町803,0486531211
レイス治療院さいたま北,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310804,さいたま市北区 土呂町２ー２３ー１９ー３０１,09098310012
カラダファクトリーステラタウン大宮店,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,出産・子育て",3310812,さいたま市北区 宮原町１－８５４－１ステラタウン３階,0487825805
だいもんや鍼伮院,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区 宮原町4-279-4,0486644766
大竹整体院,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310814,さいたま市北区東大成町１ー６３８,09017990046
さなえ鍼伮院,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310821,さいたま市北区 別所町１１２１ー６,0486678168
深層リンパドレナージュ＆よもぎ蒸しサロンハヌル,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310822,さいたま市北区 奈良町７９ー３７,08047582529
Ola-naramachi,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310822,さいたま市北区 奈良町７９ー８４,09086856728
オアシスタイランド,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310823,さいたま市北区 日進町２ー１０８１ー４高橋ビル3階,08022703803
Salon Lamer,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310823,さいたま市北区 日進町１丁目１０８８番地１６,0486589464
コンディショニング南口駅前接骨院,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310823,さいたま市北区 日進町2-1118-13パーシモン日進１F,0486697007
リフレ整骨院,整体・整骨院・鍼伮院・リラクゼーション,"さいコイン,たまポン,出産・子育て,限定たまポン",3310825,さいたま市北区櫛引町２ー７８０,0486650098
あおば薬局,調剤薬局,"さいコイン,出産・子育て",3310804,さいたま市北区 土呂町１ー１８ー１９ー１０２,0486547776
キリン堂薬局 土呂店,調剤薬局,"さいコイン,たまポン,出産・子育て,限定たまポン",3310804,さいたま市北区 土呂町1丁目15番地40号,0486651088
すみれ薬局,調剤薬局,"さいコイン,出産・子育て",3310811,さいたま市北区 吉野町２－１９２－７,0486617337
川田薬局,調剤薬局,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区宮原町３ー５６２,0486658596
エムエム薬局,調剤薬局,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区宮原町4-40-7,0486512015
大沢動物病院,動物病院,"さいコイン,たまポン,限定たまポン",3310812,さいたま市北区 宮原町３丁目２１１番地３号,0486631212
ささき動物病院,動物病院,"さいコイン,たまポン,限定たまポン",3310813,さいたま市北区植竹町１ー５１,0487936066
日進動物病院,動物病院,"さいコイン,たまポン,限定たまポン",3310825,さいたま市北区櫛引町２ー７５９ー１,0486527280
amaze,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310805,さいたま市北区 盆栽町５１４押田ビル１階,0486627878
espace,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310805,さいたま市北区 盆栽町477espace,0486538333
hair FUJITA,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区宮原町１ー４８９,0486645756
sam hair design,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区宮原町３ー４８２,0486640962
菊池美容室,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区宮原町４ー１１６ー２８,0486523214
美容室シュール,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区 宮原町２丁目１２５番地１４,0486273646
Mics hair design,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区 宮原町2丁目16番18号川人ビル2階,0488719031
hair＆spa Reple,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310813,さいたま市北区植竹町１ー７３４,0487294477
Men’s Hair Fine,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310814,さいたま市北区 東大成町１ー１２５,0486778839
Hair grassroots,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310814,さいたま市北区 東大成町1丁目590番地ユナミビル101,0487835540
ヘアーサロンヨコカワ,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310823,さいたま市北区日進町２ー１４０６ー５０,0486640088
ヘアーモードセピア,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310823,さいたま市北区日進町３ー４９３ー２,0486545930
PROPS・KIJIMA,美容院・理容院,"さいコイン,たまポン,出産・子育て,限定たまポン",3310823,さいたま市北区日進町２ー７６３ー１１布施ビル1F,08066371033
生鮮市場イマイ,百貨店・スーパー・ホームセンター,"さいコイン,たまポン,出産・子育て,限定たまポン",3310802,さいたま市北区 本郷町1101,0486646873
マツモトキヨシステラタウン店,百貨店・スーパー・ホームセンター,"さいコイン,出産・子育て",3310812,さいたま市北区 宮原町１－８５４－１,0486533332
島忠ニトリホームズ宮原店２F家具フロア,百貨店・スーパー・ホームセンター,"さいコイン,たまポン,出産・子育て,限定たまポン",3310813,さいたま市北区植竹町１－８２０－５,05017124337
オーケー大宮宮原店,百貨店・スーパー・ホームセンター,"さいコイン,出産・子育て",3310813,さいたま市北区 植竹町１ー８２０ー５,0487802800
島忠ニトリホームズ宮原店１Fホームセンター,百貨店・スーパー・ホームセンター,"さいコイン,たまポン,出産・子育て,限定たまポン",3310813,さいたま市北区植竹町1-820-5,05017124337
マルエツ大成,百貨店・スーパー・ホームセンター,"さいコイン,出産・子育て",3310814,さいたま市北区東大成町1ー507,0486642191
ロヂャース大成店,百貨店・スーパー・ホームセンター,"さいコイン,たまポン,出産・子育て,限定たまポン",3310815,さいたま市北区大成町4ー298ー2,0486681234
イオン大宮店,百貨店・スーパー・ホームセンター,"さいコイン,出産・子育て",3310825,さいたま市北区櫛引2-574-1,0486653101
松沢医院,病院・診療所,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区 宮原町２丁目３６番地１,0486520002
MeeK,文具・書籍販売,"さいコイン,たまポン,出産・子育て,限定たまポン",3310812,さいたま市北区 宮原町2丁目16-14番地新正ビル,0486517371
JTB 宮原ステラタウン店,旅行代理店,"さいコイン,出産・子育て",3310812,さいたま市北区 宮原町1-854-1ステラタウン内1階,0486108782
デァアラマ,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300841,さいたま市大宮区 東町2-64-3,0486572115
ピュアマインド大宮店,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町２丁目８番地５号黒須ビル１階,0486617025
焼肉きんぐ 北大宮店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300801,さいたま市大宮区土手町１ー５６,0487824129
石臼挽き手打ち蕎麦   吉草   大宮本店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区 宮町三丁目１番地７,0486445800
焼鳥   鳥せい   大宮店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区宮町１ー４４瀧澤ビル２階,0487298929
鳥せいHANARE,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区宮町１ー２３川越屋BLD1F,0487802242
BAR 小さな世界,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区 宮町２ー３ー１第二大矢部ビル東側,0488716645
WABANA 創作小料理,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区 宮町２丁目３番１号第2大矢部ビル1F,0487882455
ビストロ   ボナペティ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区宮町１ー８２ー２F,0486414845
THE PUBLIC COFFEE,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区宮町１ー７１ー５マギービル1階,0487826607
THE SHISHA HOUSE,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区宮町１ー７１ー５マギービル3階,08095741141
スシノミヤ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区 宮町４丁目４番地花のシマムラビル１階,07091852821
甘味処鎌倉大宮一の宮通り店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区 宮町２丁目５番地宮下ビル１階,0487883283
ボンビアッジョ,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区宮町1-5銀座ビルB1,0486313666
private restaurant 0760,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区宮町2-108-3,0486310760
天ぷらあづま,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300802,さいたま市大宮区 宮町１丁目６７番地,0486410247
伊勢錦,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300803,さいたま市大宮区 高鼻町1丁目37番地1,0486410023
CAFE CERVIN,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300803,さいたま市大宮区 高鼻町1丁目56番地ks.氷川の杜   １F,0487085284
エグリーズドゥ葉山庵,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300804,さいたま市大宮区 堀の内町3-262,0486446688
蕎麦処ゆたか,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300805,さいたま市大宮区 寿能町１丁目25番地1号前場ビル103,0487769634
Sparkling Heart's,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300812,さいたま市大宮区宮町１ー４２３F,0486440116
焼肉炭銀   本店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300835,さいたま市大宮区北袋町１ー９０ー４,0486991129
フランス料理   アルピーノ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300835,さいたま市大宮区 北袋町１丁目１３０番地１号フランス料理アルピーノ,0486419489
イタリア料理イルクオーレ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300835,さいたま市大宮区北袋町1-148イタリア料理イルクオーレ,0486472876
大宮うちゅう,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300841,さいたま市大宮区東町２ー２０４ー１,0486454500
清水園,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300841,さいたま市大宮区 東町2丁目204番地1,0486431234
シェ   シブヤ,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300841,さいたま市大宮区東町２ー１２０ー１,0487787273
田舎打ちうどん円満,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300841,さいたま市大宮区 東町2丁目141番地10,0487882686
OTTO CAFE,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300841,さいたま市大宮区 東町2丁目88番地2号橋本ビル1階,0488715868
レストラン アンドゥトヮ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300842,さいたま市大宮区 浅間町2-45-1大宮TKビル2階、3階,0486446001
ソウミャーズキッチン,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300842,さいたま市大宮区 浅間町2丁目4番地1号エクシード大宮B1F,0487085185
Pizzeria Ciccio,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300843,さいたま市大宮区吉敷町４ー９７ー１,0487883886
かのうや,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300843,さいたま市大宮区 吉敷町四丁目１０１番地,0486500503
牛角   さいたま新都心店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300843,さいたま市大宮区 吉敷町4-59-1新都心Sビル   2F,0487885729
新時代 さいたま新都心駅東口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300843,さいたま市大宮区 吉敷町4丁目59番地1号新都心Sビル 1F,0487883334
黒金29,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300844,さいたま市大宮区 下町１丁目５番地１号第二マルハチビル1…2,0486446889
ランクレ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300844,さいたま市大宮区 下町2-32,0486471055
吉野家   大宮店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300845,さいたま市大宮区仲町１ー９７ー９７大宮第二ヨシケンビル,0486501301
お料理きみしま,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300845,さいたま市大宮区 仲町3ー１０５ー１千鳥ビル1F,0457883220
カフェ＆ショットバーフレスコ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300845,さいたま市大宮区 仲町2-17第2小島ビル1F,0486492675
3匹のひつじ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300845,さいたま市大宮区 仲町１丁目６５番２号金井ビル１階,0486454129
居酒屋魚や,カフェ・飲食店,"さいコイン,たまポン,限定たまポン",3300845,さいたま市大宮区仲町1丁目88番地菊水ビル１階,0486419299
参道バル神家食堂,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町３ー５０ビップロイヤル氷川台1階,0486423833
BLOOMY'S×Flory,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区 大門町２丁目１１８番地大宮門街EAST   2F,0487294096
吉野家   大宮東口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町１ー１７ー１,0486576030
海鮮バイキングきわみ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町１ー２オスカービル2階,0486589702
PizzaFesta,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町１ー２オスカービル2階,0486589703
ConeYaki-048,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町３ー１９７星野第二ビル1F,0487825059
江戸前がってん寿司大宮東口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町1-2,0486580777
回転寿司みさき   大宮東口,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町１－９４,0487798835
韓国薬膳葉菜,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区 大門町3-198,0486416348
BISTRO CHINESE OSAWA,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区大門町3丁目103番地2号２階,0486148898
プロヴァンスヴェール,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区 大門町３丁目５０番地VIPロイヤル氷川台ｂ1,0486495822
鮨政庭   門街店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300846,さいたま市大宮区 大門町2丁目118大宮門街ＷＥＳＴ5階,0486454466
スターバックスコーヒー   エキュート大宮ノース店,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区錦町６３０ＪＲ大宮駅構内,0487297418
かにチャーハンの店（テイクアウトのみ利用可）   エキュート大宮店,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区 錦町６３０ＪＲ大宮駅構内,0486488910
東天紅JACK大宮店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300853,さいたま市大宮区 錦町682番地2号JACK大宮18階,0486470080
一汁一菜ごはん 御御御,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区錦町630ルミネ大宮店2   4F,0486311030
カオマンガイ キッチン   エキュート大宮店,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区 錦町６３０ＪＲ大宮駅構内,0486488780
サザコーヒー   エキュート大宮店,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区 錦町６３０ＪＲ大宮駅構内,0486488737
PRONTO   エキュート大宮店,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区 錦町６３０ＪＲ大宮駅構内,0486488818
利久BOWLS   エキュート大宮店,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区 錦町６３０ＪＲ大宮駅構内,0486488815
玄米食堂あえん   エキュート大宮店,カフェ・飲食店,"さいコイン,出産・子育て",3300853,さいたま市大宮区 錦町６３０ＪＲ大宮駅構内,0486488750
豊鮨,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町１－４－３いちまるきゅうビル 1階,0486435578
大宮コーヒーロースターズOasis,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町２ー４９１ー２postomiya２－１０１,0487828776
吉野家   大宮西口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町１ー１ー１１,0486505266
おむすび   ふじ,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町２丁目５３０ー２０ー１０１,07092326799
酒蔵   栄楽,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町２丁目１５９番地,0486447461
ドトールコーヒーショップ大宮駅前店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町１ー８ー１,0486475707
高ようじ 大宮,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町1丁目398番地1号アドグレイス大宮2F,05017318100
Ginger's Beach OMIYA,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-401-1カンデオホテルズ大宮1F,0486062616
桜木楼門,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-4-2ジェルパビル2F,0488716678
またあした,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-4-2ジェルパビル1F,0488716477
ピッツェリア馬車道   さいたま桜木店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町4-575-1,0486576565
木曽路大宮店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町1ー10ー7,0486487111
北海道生まれ   和食処とんでん大宮桜木町店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町4-533-1,0486500791
yosico103,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町2丁目491-2POSTOMIYA103,08057970103
ステーキのどん大宮西口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町１－１０－１７シーノ大宮１Ｆ,0486508833
横浜らぁめん桜花,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町2丁目192番地岡田ビル1階,0486490017
熟成和牛焼肉 エイジング・ビーフ大宮店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町２－８－３阪デンタルビル１階,0488716932
玄品 大宮,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町2丁目158番2号2階,0486445329
GREAT ESCAPE,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町2丁目389第17松ビル1F,0487295487
あいろん亭,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町2-297-1桜ビル1Ｆ,0486441541
スシロー大宮アルシェ店,カフェ・飲食店,"さいコイン,出産・子育て",3300854,さいたま市大宮区桜木町2ー1ー1アルシェビルB1F,0486402016
カフェドチュラ,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町1-10-18シーノ大宮センタープラザ1階,0486419998
とりまる,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区 桜木町2-455-2前原ビル1F,0487828212
カレーハウスCoCo壱番屋   JR大宮駅西口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町2-154川村第一ビル1階,0486403010
フランス料理 クラウンレストラン,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-7-5,0486473300
カフェレストランパルテール,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-7-5,0486473300
和食堂 欅,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-7-5,0486473300
鉄板焼 和,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-7-5,0486473300
和食堂 欅（寿司）,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-7-5,0486473300
中国料理 瑞麟,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-7-5,0486473300
ラウンジ   サロン ドゥ カフェ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300854,さいたま市大宮区桜木町1-7-5,0486473300
大宮唐揚げ   モヒカラ,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300855,さいたま市大宮区上小町１２１９ー４１F,09012077647
Café Fika,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300856,さいたま市大宮区三橋１－９９３－１,0486629371
はなまめカフェ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300856,さいたま市大宮区 三橋2丁目903番地の2,0488718186
N's doll&cafe,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300856,さいたま市大宮区 三橋3丁目232番1号,0487082683
鉄板・懐石   くら馬,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300856,さいたま市大宮区 三橋1丁目668番,0487802652
東京 しゃも親子丼 清水   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町４ー２６３ー１コクーン2   3階,0488717113
函館   グルメ回転寿司   函太郎   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町４ー２６３ー１コクーン2   1階,
ＵＮＤＥＲＧＲＯＵＮＤ ＲＡＭＥＮ頑者   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-267-2コクーン1   2階,0486011093
アマラ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   3階,0487881215
いしがまやハンバーグ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   1階,0486435258
イルキャンティ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-6コクーン3   1階,0488569660
エッグスンシングス   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   1階,0487881151
おぼんｄｅごはん   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   1階,0487881196
海鮮食堂 魚盛   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-267-2コクーン1   2階,0486012306
蔭山樓   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   3階,0487787188
カフェ ザ ブーケ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   1階,0487883567
カプリチョーザ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   1階,0487881088
粥餐庁   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-267-2コクーン1   2階,0486006051
韓美膳   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   1階,0487798801
キャットカフェモフ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   3階,0488717739
クア アイナ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-267-2コクーン1   2階,0486004900
こめらく みんなでお茶漬け日和。   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   3階,0486578889
サーティワンアイスクリーム   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   3階,0487826631
しゃぶしゃぶ但馬屋   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   1階,0486435529
せんば自由軒キッチン。   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   3階,0486435818
生パスタ専門店 スパラ   コクーンシティ店,カフェ・飲食店,さいコイン,3309559,さいたま市大宮区吉敷町4-263-1コクーン2   3階,0486507141
