名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
川島町役場,町役場,公共施設,○,○,×,,3,"【おむつ替え＋授乳】1階授乳室
【おむつ替え】1階・2階多機能トイレ",1階授乳室は個室となっており、流し台や電気ポット等の調乳設備があります。,350-0192,川島町,川島町大字下八ツ林870-1,049-297-1811,049-297-6058,,月～土）8:30～17:15　　日・祝・年末年始）8:30～17:15※窓口閉庁,,http://www.town.kawajima.saitama.jp/,
三郷市立彦成保育所,認可保育所(公立保育所),教育・習い事,○,○,×,,1,【おむつ交換+授乳】保育所事務室(1F)(搾乳できます),"事務室内にパーテーションを設置して対応いたします。
ご利用を希望される方は門扉脇のインターホンを押して下さい。
保育所に併設のため、子育て相談にも対応できます。",341-0003,三郷市,三郷市彦成2丁目278番地,048-957-3377,,,7:30～18:30,日・祝・年末年始(12/29～1/3),,
三郷市立高州保育所,認可保育所(公立保育所),教育・習い事,○,○,×,,1,保育所事務室(1F)(搾乳できます),"事務室内にパーテーションを設置して対応いたします。
ご利用を希望される方は門扉脇のインターホンを押して下さい。
保育所に併設のため、子育て相談にも対応できます。",341-0037,三郷市,三郷市高州2丁目259番地2,048-955-0325,,,7:30～18:30,日・祝・年末年始(12/29～1/3),,
西武鉄道　入曽駅,鉄道業,公共交通機関,○,×,×,,1,【おむつ替え】多機能トイレ,,350-1316,狭山市,狭山市南入曽567,04-2959-3046,,,初電車～終電車,年中無休,,
ベルク北本東間店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】・多目的トイレ
【ベビーチェア】・男子トイレ、女子トイレ",,364-0007,北本市,北本市東間5-56,048-544-5300,048-544-5301,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
武蔵野うどん　竹國　川越池辺店,製造業・飲食店,飲食,○,×,×,,1,【おむつ交換台】女子トイレ,おむつ交換台が女子トイレに一台ございます。,350-1171,川越市,川越市池辺字押切10-1,0492-65-7566,,,11:00～18:00,無し,http://www.daishinfoods.com,当店は川越水城公園のの近くにございます。ぜひお立ち寄り、ご利用ください。
入間市金子地区センター,公民館,公共施設,○,×,×,,1,【おむつ交換】1階　トイレ入り口手前,おむつ交換できるベビーベッドが置いてあります。,358-0045,入間市,入間市寺竹535-1,04-2936-1171,04-2936-2702,,8:30～22:00　※17:15～22:00の間は貸館の予約が無い場合閉館しています。,祝日、年末年始,,
入間市武道館,体育施設,公共施設,○,×,○,ベビーチェア,3,【おむつ交換】1階女子更衣室、1階・2階多目的トイレ,"女子更衣室:ベビーベッド
多目的トイレ:折り畳み式、おむつ交換台
男女トイレ個室:ベビーチェア",358-0004,入間市,入間市鍵山3-10-20,04-2965-5551,04-2965-2545,,9:00～21:30,年末年始,,
地域子育て支援拠点にこにこひろば,地域子育て支援拠点,その他,○,○,○,調乳用電気ポット有(70度のお湯でいつでも調乳できます),1,【おむつ交換+授乳】子育て支援拠点内,"親子で遊んでいる中で、お子さんの適切なタイミングで利用できます。
保育所の中の施設なので安心して立ち寄れます。
ベビーベッド・授乳用椅子があります。",357-0023,飯能市,飯能市岩沢1243　加治東小学校内,042-971-3001,042-971-3001,nikonikohiroba@aqua.ocn.ne.jp,9:30～14:30,土・日・祝日・年末年始,http://www.nikoniko.justhpbs.jp/,0歳からおおむね3歳までのお子さんと保護者の交流の場で、開室時間内であれば、いつでも気軽に入退室できます。保育所の中にあるので安心して立ち寄ってください。
国営武蔵丘陵森林公園,国営武蔵丘陵森林公園の維持管理業務,公共施設,○,○,○,調乳専用浄水給湯器あり(南口、中央口駐車場側、西口、都市緑化植物園の授乳室),5,【おむつ替え+授乳】南口、中央口、西口、都市緑化植物園の各授乳室,"授乳室内には、簡易ベッド、流し台、調乳専用浄水給湯器を設置しています。
※中央口には、授乳室が2ヵ所ございますが、給湯器は駐車場側の授乳室のみ設置。",355-0802,滑川町,滑川町山田1920,0493-57-2111,0493-56-4913,,(3月～10月) 9:30～17:00、(11月) 9:30～16:30、(12月～2月) 9:30～16:00,12月31日、1月1日、1月第3・第4月曜日,http://www.shinrinkoen.jp/,"森林公園では、小さなお子様連れのお母様が安心して利用できる授乳室をご用意しております。お気づきの点などがございましたら、最寄りのスタッフまでお声掛けください。
※授乳室の利用は無料ですが、入園料などの料金が必要です。"
地域子育て支援拠点いるかひろば,地域子育て支援拠点,その他,○,○,○,"ベビーベッド・ベビーラック有。
授乳スペースには椅子と授乳ブーケ有。",1,【おむつ交換+授乳】子育て支援拠点内,小学校の余裕教室を利用,357-0126,飯能市,飯能市下赤工442-2　原市場小学校B棟1F,042-970-3010,042-970-3010,iruka@hanno.jp,10:00～15:00,土、日、祝日、年末年始,http://www.nikoniko.justhpbs.jp/iruka/index.html,"0歳からおおむね3歳までのお子さんと保護者の交流の場で、開室時間内でありば、いつでも気軽に入退室できます。
※徒歩・ベビーカーの方は校門からお入りください。
※車・自転車の方は、駐車場から体育館の階段を下りてB棟玄関へ。"
ヤオコー浦和中尾店,食品スーパーマーケット,買物,○,×,×,,2,【おむつ交換】女子トイレ・多目的トイレ,,336-0932,さいたま市緑区,さいたま市緑区大字中尾1086番地1,048-712-1311,048-875-3400,,9:30～21:45,年中無休,http://www.yaoko-net.com/,
アクア越谷整骨院,療術業,その他,○,○,○,ミルク用のお水、お湯の提供,1,【おむつ交換+授乳】院内、カーテン付きベッド,オムツ交換用防水シーツ、カーテン付きベッド3台あります。閉め切って使用できる別室には男女兼用トイレがあります。,343-0816,越谷市,越谷市弥生町7-7,048-966-2690,048-966-2690,aquakoshigaya@yahoo.co.jp,平日(月～金)　8:30～12:00/15:00～20:00、土 8:30～13:00,毎月第一月曜定休、日・祝日定休,http://www.aquakoshigaya-seikotsuin.com,"突然のオムツ替えや、トイレ、授乳やミルク用のお水、ママに優しいお手伝いができるように準備しております。
お水や、お湯もあるので、ぜひご自由にご利用ください。"
ワークステーションさいたま,就労支援施設,公共施設,○,×,×,,1,【おむつ交換】2F「再就職チャレンジコーナー」のトイレ,2F「再就職チャレンジコーナー」のトイレにおむつ交換台が1台あります。,330-0074,さいたま市浦和区,さいたま市浦和区北浦和3-3-1　北浦和インフォメーションセンター内,048-823-8100,,,9:00～17:00,土日、祝日、年末・年始,http://ws-saitama-city.com,2階「再就職チャレンジコーナー」では、女性相談員による相談窓口や、託児サービスが付いたセミナーなどを開催し、子育ても仕事も大切にしたい方を支援しています。お気軽にお立ち寄りください。
ソフトバンク寄居,販売,買物,○,○,○,キッズコーナー有,1,【おむつ交換+授乳】店舗内キッズコーナー奥,おむつ交換、授乳ともに可能です,369-1203,寄居町,寄居町寄居1555-1,048-580-1311,,,10:00～19:00,第1火曜日,https://www.softbank.jp/shop/search/detail/TH00/,"居心地の良い店舗づくりに励んでおります。
お近くにお越しの際はお気軽にご来店ください。
皆様のご来店、心よりお待ちしております。"
寄居町平安会館　(有)山兼セレモニー,葬祭業,その他,○,○,×,,1,【おむつ交換+授乳】会館内　和室,畳の部屋に、おむつ交換台・授乳イスが設置してあるので、赤ちゃんには最適です。,369-1203,寄居町,寄居町大字寄居916,048-581-2900,048-581-4500,,24時間,なし,http://www.heiankaikan.jp/yorii.html,「送る心を大切に・・・」心おきなく大切な方とのお別れの時をお過ごしいただくため、赤ちゃんや小さいお子様をお連れのお客様にも安心してご利用いただける葬儀式場です。
福島ハウジング株式会社　本社,建築・リフォーム・不動産,住宅,○,×,×,,1,【おむつ交換】お客様用トイレ前,自由におむつ交換ができるスペースです。,369-1203,寄居町,寄居町大字寄居848,048-581-8508,048-581-8873,,平日)10:00～17:30　土日祝)10:00～18:00,第1・3火曜日　毎週水曜日,http://fukushima-h.com/,"完全自由設計からリフォームまで承っております。
家づくりの参考にぜひ、お越しください。"
さいたま市桜環境センター,環境啓発施設　余熱体験施設,その他,○,○,×,,1,【おむつ交換+授乳】1階授乳室,お手洗いとは別に清潔感がある授乳室で個室になっております。流し台があります。,338-0834,さいたま市桜区,さいたま市桜区新開4-2-1,048-710-5344,048-839-6385,sakura-yonetsu@cleankobo.co.jp,1・2階　9時～17時、3・4階　9時～21時,月曜日(休日の場合は次の休日ではない日),https://sakura-kc.saitama.jp/,さいたま市の木・花・花木であるケヤキ、サクラソウ、さくらをモチーフに明るく開放的な空間の中で食・遊・憩・動・浴をお楽しみ頂けます。
武蔵野うどん　竹國　東松山店,製造業・飲食店,飲食,○,○,○,授乳室内に熱湯給水器あり,1,【おむつ替え+授乳】授乳室,授乳室内におむつ交換台1台と授乳用イスがあります。,355-0065,東松山市,東松山市岩殿647-9,0493-81-6577,0493-81-6577,,11:00～18:00,無し,http://www.daishinfoods.com,"当店は埼玉県こども動物自然公園の前にございます。
ぜひお立ち寄りご利用ください。"
学校法人　駿河台大学,学校教育,遊び,○,×,×,,2,【おむつ交換】講義棟4階障がい者用トイレ、テニスコート脇トイレ(多目的トイレ),大駐車場あり。講義棟4階障がい者用トイレは大型のおむつ交換台を完備、テニスコート脇のトイレは東屋風の建物です。,357-8555,飯能市,飯能市阿須698,042-972-1111,042-972-1139,,原則として月曜日～土曜日9:00～18:30,原則として日曜日、祝祭日、年末年始等,http://www.surugadai.ac.jp/,卒業生や近隣地域外の方でも、赤ちゃんのおむつ替えの時は、どうぞお立ち寄りください。
日商建設株式会社,建設業,その他,○,×,×,,1,【おむつ交換】2階ショールーム　トイレ内,住宅設備も一緒にご覧いただけます。,350-1123,川越市,川越市脇田本町30-8,049-246-6565,049-245-5454,info@nissho-kensetsu.co.jp,9:00～18:00,水曜日,http://www.nissho-kensetsu.co.jp,"高品質・リーズナブルな価格・自由設計の注文住宅
子育て家族を応援します!"
彩ハウス　(株)いのうえ工務店　深谷展示場,建築業,住宅,○,○,×,,1,【おむつ替え+授乳】展示場内個室,展示場の為、オムツ交換・授乳できるスペースがあります。(随時、空いているお部屋をご案内いたします),369-1244,深谷市,深谷市黒田434,048-598-4558,048-579-0588,info@f-products.jp,9時00分～19時00分,年中無休,http://www.irodori-house.jp/,"彩ハウス赤ちゃんの駅にお立ち寄り頂きありがとうございます。
どうぞお気軽にマイホーム感覚でご利用ください。
ご利用の際はスタッフにお声がけください。"
たばた鍼灸接骨院,柔道整復　はり　きゅう,その他,○,○,○,ベビーバウンサー、キッズスペース、調乳用のお湯,1,【おむつ交換+授乳】施術室内,施術用のベッド(カーテン付き)でおむつ替え可能。個室(キッズスペース付き)にて授乳ができます。,355-0028,東松山市,東松山市箭弓町1-4-7　ZONA2　1階,0493-21-6763,0493-21-6763,tabatasekkotu0601@ybb.ne.jp,9:30～13:30/15:30～20:00,木曜・土曜午後　日曜日,http://tabata-sekkotsuin.com/,子育て中のママ・パパにも優しい鍼灸接骨院を目指しています。施術目的でなくても大歓迎!子育て中の女性施術者も常駐していますので、お気軽にお立ち寄りください。また、美容・痩身メニューもございます。パパ・ママカード特典もご用意しています!
生活協同組合パルシステム埼玉　ぱる★てらす,組合員活動施設,その他,○,○,○,お湯の提供,1,【おむつ交換+授乳】2Fコミュニティースペース内授乳室,"2Fコミュニティスペース内の授乳室におむつ交換台、お湯の提供あります。
女性用トイレにベビーキープ、幼児用便座あります。",330-0056,さいたま市浦和区,さいたま市浦和区東仲町10-7,0120-583-388,048-829-9862,,月～金)9:00～17:00(祝日含む),土、日、年末年始(組合の休業期間に準ずる)。施設運営上の都合により臨時に休館する場合があります。,http://www.palsystem-saitama.coop/pal_terrace/index.html,1F、2Fのコミュニティスペースはどなたでも無料で利用できるスペースとなっています(3F、4F、5Fは当組合員の活動施設)。買い物帰りの休憩に、交流の場などお気軽にご利用ください。授乳室は2Fコミュニティスペースにあります。
子育て支援センターみどり,地域子育て支援拠点,教育・習い事,○,○,×,,1,【おむつ交換+授乳】子育て支援センター2階(授乳+おむつ替え専用スペース),子育て支援センターの中で安心して授乳をしたり、オムツ交換をしたりすることができます。,336-0926,さいたま市緑区,さいたま市緑区東浦和7-20-4,048-874-7388,048-874-6501,midori-sien@able.ocn.ne.jp,"9:00～12:00
13:00～16:00","第2・第4水曜
第5日曜、祝日、年末年始",https://www.saitama-kosodate.jp/map/desc.php?xid=271,子育て支援センターみどりは、アットホームは雰囲気の子育て支援センターです。親子で安心して楽しく過ごせるように絵本やおもちゃを用意したり、いろいろなイベントを行っています。
西大袋第三公園,公園,公園,○,×,×,,1,【おむつ交換】多機能トイレ内,,343-0000,越谷市,越谷市西大袋土地区画整理事業19街区,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
しらこばと運動公園,公園,公園,○,×,×,,1,【おむつ交換】多機能トイレ内,,343-0803,越谷市,越谷市大字小曽川729-1,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
出羽公園,公園,公園,○,×,×,,2,【おむつ交換】多機能トイレ内、女子トイレ内,,343-0851,越谷市,越谷市七左町4-222,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
大吉調節池親水公園,公園,公園,○,×,×,,1,【おむつ交換】多機能トイレ内,,343-0008,越谷市,越谷市大吉396-1,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
大相模調節池親水公園,公園,公園,○,×,×,,1,【おむつ交換】多機能トイレ内,,343-0828,越谷市,越谷市レイクタウン2-201,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
越谷駅東口駅前多機能トイレ,公衆便所,公共施設,○,×,×,,1,【おむつ交換】多機能トイレ内,,343-0816,越谷市,越谷市弥生町891-6,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
北越谷駅西口広場,公衆便所,公共施設,○,×,×,,1,【おむつ交換】多機能トイレ内,,343-0026,越谷市,越谷市北越谷2-42-18,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
越谷梅林公園,公園,公園,○,×,×,,1,【おむつ交換】女子トイレ内,,343-0021,越谷市,越谷市大字大林203-1,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
入間市農村環境改善センター,,公共施設,○,×,×,,1,【おむつ交換】1階　ロビー,,358-0041,入間市,入間市大字下谷ケ貫915番地3,04-2936-0900,04-2001-0645,,8:30～21:30,年末12月29日～年始1月3日,,
さいたま市美園コミュニティセンター,コミュニティセンター,公共施設,○,○,○,お湯の提供,3,"【おむつ替え】1階・2階みんなのトイレ
【おむつ替え+授乳】1階授乳室",みんなのトイレにおむつ交換用ベビーベッド、1階子ども広場の隣に授乳室あり。,336-0967,さいたま市緑区,さいたま市緑区美園4-19-1,048-764-8810,048-764-9310,misono_comisen@saitama-culture.jp,9:00～21:30,年末年始,http://www.saitama-culture.jp/,美園コミュニティセンター・美園支所・美園図書館・美園教育相談室の複合施設です。
入間市リサイクルプラザ,リサイクル,公共施設,○,×,×,,1,【おむつ交換】リサイクルプラザ1階,,358-0031,入間市,入間市大字新久127番地1,04-2934-5324,04-2934-5580,,8時30分～17時00分,毎週月曜日(祝日なども含む)、年末年始(12月29日～1月3日),,"リサイクルプラザは、ごみの減量化及び再生利用を推進・実践するための拠点施設として、市民、消費者団体、各種市民団体等にごみの減量化やリサイクルに関する啓発を行っています。
現状の大量消費型のライフスタイルを見直す一方、この施設を提供することによって、不要品の修理、交換等のリサイクルを通した人づくりや地域社会を形成していくとともにコミュニティ形成の場としていただくことを目的としています。"
化石と自然の体験館,体験施設,公共施設,○,×,×,,1,【おむつ交換】だれでもトイレ,,355-0067,東松山市,東松山市坂東山13番地(ばんどう山第2公園内),0493-35-3892,0493-35-3900,,9:00～17:00,毎週月曜日(祝日の場合は翌日)、年末年始(12月29日～1月3日),https://www.kasekitaiken.com/,東松山市の地質や化石についての展示と化石の発掘体験が出来る施設です。
きらりキッチン Te to Te ,介護・飲食,飲食,○,×,×,,1,【おむつ替え】みんなのトイレ,カフェ内のみんなのトイレ内にオムツ交換台が1台設置されています。,332-0035,川口市,川口市西青木4-1-3,048-240-5882,048-258-6555,info@life-d.co.jp,11:30～18:30,土日祝,,管理栄養士監修　ヘルシーで美味しいお食事を召し上がり頂き、皆様の健康のお手伝い。健康な身体で幸せな人生をお過ごしください。オーガニック野菜など、お子様も安心してお召し上がりいただけます。
埼玉縣信用金庫　川口朝日支店,金融業,金融,○,×,○,ベビーキープ,1,【おむつ替え】1階多目的トイレ,,332-0001,川口市,川口市朝日4-20-25,048-225-1250,,,9:00～15:00,土曜日・日曜日・祝日,https://www.saishin.co.jp,お子さま連れで、お気軽にご利用ください。
埼玉縣信用金庫　三郷支店,金融業,金融,○,×,○,ベビーキープ,1,【おむつ替え】1階多目的トイレ,,341-0038,三郷市,三郷市中央2-3-3,048-954-1571,,,9:00～15:00,土曜日・日曜日・祝日,https://www.saishin.co.jp,お子さま連れで、お気軽にご利用ください。
パナソニックホームズ株式会社　浦和展示場,住宅展示場(建築請負・不動産),住宅,○,○,×,,1,【おむつ交換+授乳】展示場内の洋室1室,,336-0932,さいたま市緑区,さいたま市緑区中尾395-1,0120-82-8746,048-875-8746,,10時～17時,水曜日(祝日は営業します),,女性設計士が作ったリラックス出来るインテリアとベビーカースペースやキッズコーナーが有り、パパママにもお子様にも心地良く過ごして頂けます。
スターチャイルド≪浦和保育園≫,保育所,その他,○,○,×,,1,【おむつ換え＋授乳】保育室の一部,保育施設,330-0055,さいたま市浦和区,さいたま市浦和区東高砂町25-7,048-871-0250,048-871-0256,urawa@starchild.jp,9:00～18:00,日曜日・祝祭日・12/29～1/3(土曜日は対応不可),http://www.starchild.jp/,"定員60名の認可保育園です。
０才～5才児の子ども達の様子もごらんになれます。
育児相談もお気軽にどうぞ。"
吉川市美南子育て支援センター　美南の風,地域子育て支援拠点,公共施設,○,○,×,,1,【おむつ換え+授乳】地域子育て支援拠点内授乳スペース（搾乳できます）,フロアタイプ用のおむつ交換台・個室で鍵のかかる授乳スペース,342-0038,吉川市,吉川市美南4丁目17番地3,048-983-5267,,kosodatesalon-famiring@nifty.com,開催日の10:00～15:00(開催日は市広報またはホームページを参照ください),土日、祝日(土曜日開催の週も有り),http://famiring.kids.coocan.jp/index.html,子育てって不安がいっぱい。引っ越ししてきて何もわからない。何かに迷っても、どこに行ったらいいかわからない。子どもを安心して遊ばせられる場所が欲しい。そんな子育てファミリー誰もがふら～っと立ち寄れて、ホッとできる場所にしたい♪そんな思いでふぁみりんぐを立ち上げました。子育てに少し疲れたな～と思ったら、是非子育てサロンを利用してみてください。
戸田市新曽南多世代交流館,交流施設運営,公共施設,○,○,○,"幼児用トイレ
お湯の提供",1,【おむつ交換+授乳(搾乳できます)+幼児トイレ】2階プレイルーム横,多目的トイレにベビーキープ・簡易ベッド、赤ちゃんの駅にベビーキープ、おむつ交換台、授乳室、幼児用トイレあり,335-0026,戸田市,戸田市新曽南3-1-5　戸田市新曽南庁舎1・2階,048-229-1061,048-447-2055,toda-sakurapal@nem-shiteikanri.jp,8:30～21:30(貸室利用は9:00～21:00),第1・3・5月曜日、年末年始　※臨時休館日あり,https://www.nem-shiteikanri.jp/shisetsu/toda-sakurapal,子どもから高齢者まで多世代にわたり利用できる施設です。
ベルク川越新宿店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,350-1124,川越市,川越市新宿町5-13-68,049-249-4700,049-249-4701,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
親子サロン　うさぎ組,保育室・親子サロン,教育・習い事,○,○,○,乳幼児用便器,1,【おむつ替え+授乳]保育室内(カーテンで仕切られたスペース),乳幼児用の便器を設置してあります。,357-0069,飯能市,飯能市茜台1-2-12,070-4223-8779,,usagigumi1212@gmail.com,【月～金】10:00～16:00(12:00～13:30休憩中ですがご利用いただけます)【土】10:00～12:00,日曜日、祭日、年末年始、31日,,"親子が安心して集うことができるスペースを…と考えて建てました。
うさぎ組では、ルーム・サロンを開催しています。ご参加をお待ちしております。
【うさぎ組ルーム】
開催日:毎週月・水・金10:00～12:00
対象:0～2歳のお子さんとご家族
参加費:子供1人1日150円、0歳児100円
内容:手遊び・紙芝居の読み聞かせ、ダンス・リズム遊びなど
【うさぎの親子サロン】
開催日:毎週火・木10:00～16:00(12:30～13:30昼休み)、毎週月・水・金13:30～16:00、土10:00～12:00
対象:1～4歳のお子さんとご家族
参加費:子供1人1日150円、0歳児100円
内容:子どもたちが遊ぶ様子を保護室と保育士で見守りながら過ごします"
飯能駅南口観光公衆トイレ,観光公衆トイレ,公共施設,○,×,○,ベビーチェア,1,【おむつ交換】多目的トイレ内,トイレ内におむつ交換台、ベビーチェアあり,357-0036,飯能市,飯能市南町178-3ほか,,,,多目的トイレについては夜10時～朝6時まで閉鎖,なし,https://www.city.hanno.lg.jp/soshikikarasagasu/kankyokeizaibu/kanko_ecotourismka/1901.html,ユニバーサルデザインに配慮し、北欧の街並みをイメージしたつくり。埼玉県産の西川材を使用した木のぬくもり溢れる観光トイレです。
所沢すこやか保育園,保育園,教育・習い事,○,○,×,,2,【おむつ替え】1階トイレ　【授乳】1階事務室,,359-1143,所沢市,所沢市宮本町1-1-10,04-2941-6130,,,月曜日～金曜日 7:00～20:00、土曜日　7:00～18:30,日曜日,,"日々の生活の大半を保育園で過ごすこどもたちの体験は、その子の人生にとって、とても大切なものです。
保育士や地域とのかかわりをとおして、おおくのことを感じ成長していきます。たくさんの感動をとおして1人ひとりがすこやかに成長していく保育を実践します。"
所沢おひさま保育園,保育園,教育・習い事,○,○,×,,2,【おむつ替え】1階トイレ　【授乳】1階事務所脇コーナー,,359-0037,所沢市,所沢市くすのき台2-1-3,04-2941-6160,,,月曜日～金曜日 7:00～20:00、土曜日　7:00～18:00,日曜日,,"・1日体験保育(保護者の方に保育士と一緒にすごしていただきます)
・図書の貸し出し(地域の方が気軽に絵本に親しんでいただく事業です)"
中央子育て支援センター　ぴこの森,地域子育て支援拠点,公共施設,○,○,×,,1,【おむつ交換+授乳】授乳室（搾乳できます）,フロアタイプ用のおむつ交換台・個室で鍵のかかる授乳スペース,342-0054,吉川市,吉川市吉川団地1-7-106,048-971-8865,048-971-8865,kosodatesalon-famiring@nifty.com,開催日の10:00～15:00(開催日は市広報またはホームページを参照ください),市広報またはホームページを参照ください,http://famiring.kids.coocan.jp/index.html,子育てって不安がいっぱい。引っ越ししてきて何もわからない。何かに迷っても、どこに行ったらいいかわからない。子どもを安心して遊ばせられる場所が欲しい。そんな子育てファミリー誰もがふら～っと立ち寄れて、ホッとできる居場所にしたい♪　そんな思いでふぁみりんぐを立ち上げあげました。子育てに少し疲れたな～と思ったら、是非子育てサロンを利用してみてください。
入間市黒須地区センター,公民館,公共施設,○,×,×,,1,【おむつ交換】2階ホール,ベビーベッドを設置,358-0007,入間市,入間市黒須2丁目3番13号,04-2962-7511,04-2965-5495,,8:30～22:00　※17:15～22:00の間は貸館の予約が無い場合閉館しています。,祝日、年末年始,,
ウェルシア日高高麗川店,薬の販売,買物,○,×,○,ベビーキープ,1,【おむつ交換】トイレ,おむつ交換できる台とベビーキープがあります。,350-1249,日高市,日高市高麗川3丁目12-15,042-984-0075,042-984-0076,,9:00~24:00,年中無休,,"全国どこの病院の処方箋でも受け付けています。
(月～土、10時～20時)"
ベルク富士見関沢店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,354-0025,富士見市,富士見市関沢1-7-12,049-275-7100,049-275-7101,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
島忠ホームズ　所沢店,小売業,買物,○,○,○,キッズ用飲食スペース,2,【おむつ替え+授乳】1F授乳室、1Fフードコート奥授乳室,授乳室には1人掛けの椅子とテーブルなどを設置し、設備全体も清潔を保ち安心してご利用いただけます。また、調乳専用浄水給湯器を設置しております。1Fフードコートには電車の形のキッズ用飲食スペースもございます。,359-1105,所沢市,所沢市青葉台1327番地,04-2928-2736,04-2926-8543,,10:00～20:00,無,http://www.shimachu.co.jp/,"【大きくなった所沢のシマホ】
ファミリー向けのテナントや、設備が豊富なお店です♪
““所沢で一番便利なトコロ””を目指して、明るく元気に営業中!!毎日何かが起こってる!?わくわくできるお店です♪"
やしお子育てほっとステーション,子育てひろば・利用者支援・ホームスタート拠点,教育・習い事,○,○,○,ベビーチェア(男子トイレ、女子トイレ),3,"【おむつ替え】おむつ交換コーナー
【授乳】授乳室",ひろばを利用しなくても、授乳室・おむつ交換・トイレを利用することができます(利用の際は、スタッフに声をかけてください),340-0822,八潮市,八潮市大瀬6-4-1,048-951-0285,048-998-0295,yashiokosodatehot@juno.ocn.ne.jp,10:00～16:00,年中無休(年末年始を除く),,子育て親子が気軽に集える「子育てひろば」や地域の子育て情報を紹介する「子育てコーディネーター」のサービスを利用できるほか、子育て経験のあるボランティアが訪問し、育児などを一緒に行う「ホームスタート」の拠点となります。お気軽にお立ちよりください。
川口本町通り中央整骨院,,その他,○,○,○,キッズスペース有,1,【おむつ替え＋授乳】院内のベッド,カーテンで仕切りができるスペースです。,332-0012,川口市,川口市本町4-5-26　キャメリアタワー108号,048-222-4976,048-222-4976,kawaguchi10@outlook.com,（月～金）9:00～12:00／15:00～20:00　（土）9:00～15:00,日曜日、祝日,http://kawaguchi-seikotsuin.com,"根本から治し、自然治癒力を高めて再発しない身内を手に入れませんか？元気いっぱいのスタッフがあなたの健康をトータルサポートします。
ケガの治療はもちろん、肩・腰の痛み、マタニティケア、産後の骨盤ケアも行います。ベビーカーも入れて、キッズスペースもあります。"
環境学習館　えこらぼ,環境学習施設,公共施設,○,○,×,,2,"【おむつ交換】1階多目的トイレ
【おむつ交換+授乳】2階授乳室",1階と2階におむつ交換台が2基と2階に授乳室を設置しています。,356-0034,ふじみ野市,ふじみ野市駒林1117,049-257-5374,049-257-5380,ecolabo@city.fujimino.saitama.jp,8:30～17:00,日曜日・月曜日(月曜日が祝日の場合は翌日),http://fujiminoecowells.co.jp/,ふじみ野市・三芳町環境センターでは施設見学、施設利用、環境学習イベントを実施しています。
飯能市立図書館,公立図書館,公共施設,○,○,○,給湯器(授乳室),3,"【おむつ替え】1階・2階多目的トイレ
【おむつ替え+授乳】1階授乳室(搾乳できます)","1階閲覧室児童コーナーにある授乳室には、ベビーベッド、給湯器、ソファがあります。
1・2階の多目的トイレには、おむつ交換台が各1台あります。",357-0031,飯能市,飯能市山手町19-5,042-972-2114,042-972-2118,tosyokan@city.hanno.lg.jp,火～金)9:30～19:00　土日祝)9:30～18:00　,月曜日(祝日の場合は開館)、月末整理日(毎月最終金曜日。祝日の場合は開館)、特別整理期間、年末・年始,http://www.hanno-lib.jp/,"親子でゆっくり過ごしていただける、木の薫り漂う、ぬくもりのある図書館です。赤ちゃんのための「はいはいコーナー」は木の床の上でゆっくり絵本を楽しむことができます。子育てに役立つ本も揃えています。
授乳室はスペースも広く、ゆったりお過ごしいただけます。"
社会福祉法人親愛会　特別養護老人ホーム　みどりのまち親愛,社会福祉事業,その他,○,×,○,ベビーチェア,1,【おむつ交換】1F多目的トイレ,2015年7月にオープンした施設で、おむつ替えシート・ベビーチェアを備えています。,350-1150,川越市,川越市中台南2丁目15番地10,049-246-6800,049-246-6811,sinaikai@to.email.ne.jp,7:00～21:00,なし,http://www.sinaikai.or.jp,地域で暮らす子供から高齢者すべての方を対象に「生きるを支える」を基本理念とした福祉サービスを展開しています。
